[19/05/2022 13:13:51] Player: Fabio Leandro | Reward: 1x tear of daraman
[06/06/2022 21:21:37] Player: Jon Jon | Reward: 5x diamond coin
[06/06/2022 21:21:48] Player: Jon Jon | Reward: 1x soulpotter backpack
[06/06/2022 21:22:11] Player: Jon Jon | Reward: 100x ultimate mana potion
[06/06/2022 21:24:21] Player: Jon Jon | Reward: 5x diamond coin
[06/06/2022 21:24:32] Player: Jon Jon | Reward: 50x fragmental ticket
[06/06/2022 21:24:43] Player: Jon Jon | Reward: 100x supreme health potion
[06/06/2022 21:24:55] Player: Jon Jon | Reward: 1x stamina refil
[06/06/2022 21:25:10] Player: Jon Jon | Reward: 5x diamond coin
[06/06/2022 21:25:20] Player: Jon Jon | Reward: 100x ultimate spirit potion
[06/06/2022 21:25:31] Player: Jon Jon | Reward: 1x pharaot boots
[06/06/2022 21:25:50] Player: Jon Jon | Reward: 1x stamina refil
[06/06/2022 21:26:07] Player: Jon Jon | Reward: 50x fragmental ticket
[06/06/2022 21:26:18] Player: Jon Jon | Reward: 10x eldritch token
[06/06/2022 21:26:28] Player: Jon Jon | Reward: 100x ultimate spirit potion
[06/06/2022 21:27:07] Player: Heltao El Patron | Reward: 5x diamond coin
[06/06/2022 21:27:22] Player: Heltao El Patron | Reward: 1x pharaot boots
[06/06/2022 21:28:36] Player: Heltao El Patron | Reward: 50x fragmental ticket
[06/06/2022 21:28:49] Player: Heltao El Patron | Reward: 1x soulpotter backpack
[06/06/2022 21:30:05] Player: Heltao El Patron | Reward: 100x ultimate mana potion
[06/06/2022 21:30:16] Player: Heltao El Patron | Reward: 100x ultimate mana potion
[06/06/2022 21:31:08] Player: Heltao El Patron | Reward: 100x ultimate spirit potion
[06/06/2022 21:32:12] Player: Heltao El Patron | Reward: 100x ultimate spirit potion
[06/06/2022 22:03:35] Player: Heltao El Patron | Reward: 1x stamina refil
[06/06/2022 22:04:06] Player: Heltao El Patron | Reward: 1x soulskull backpack
[07/06/2022 00:24:27] Player: Krupskaia | Reward: 100x ultimate mana potion
[07/06/2022 00:24:59] Player: Viniphysc | Reward: 100x crystal coin
[07/06/2022 00:25:38] Player: Krupskaia | Reward: 100x ultimate mana potion
[07/06/2022 00:25:50] Player: Krupskaia | Reward: 1x stamina refil
[07/06/2022 00:26:26] Player: Krupskaia | Reward: 1x pharaot boots
[07/06/2022 00:27:26] Player: Krupskaia | Reward: 1x pharaot boots
[07/06/2022 00:27:40] Player: Viniphysc | Reward: 100x ultimate spirit potion
[07/06/2022 00:28:32] Player: Krupskaia | Reward: 100x ultimate mana potion
[07/06/2022 00:28:42] Player: Krupskaia | Reward: 100x ultimate spirit potion
[07/06/2022 00:28:55] Player: Krupskaia | Reward: 100x ultimate mana potion
[07/06/2022 09:11:37] Player: Heltao El Patron | Reward: 100x ultimate mana potion
[07/06/2022 09:11:55] Player: Heltao El Patron | Reward: 1x stamina refil
[07/06/2022 09:12:21] Player: Heltao El Patron | Reward: 10x eldritch token
[07/06/2022 09:12:46] Player: Heltao El Patron | Reward: 100x crystal coin
[07/06/2022 09:15:23] Player: Heltao El Patron | Reward: 100x ultimate spirit potion
[07/06/2022 09:15:35] Player: Heltao El Patron | Reward: 100x supreme health potion
[07/06/2022 09:15:54] Player: Heltao El Patron | Reward: 100x supreme health potion
[07/06/2022 09:17:09] Player: Viniphysc | Reward: 100x ultimate spirit potion
[07/06/2022 09:21:39] Player: Heltao El Patron | Reward: 100x supreme health potion
[07/06/2022 09:21:50] Player: Heltao El Patron | Reward: 50x fragmental ticket
[07/06/2022 09:22:04] Player: Heltao El Patron | Reward: 100x crystal coin
[07/06/2022 09:23:05] Player: Heltao El Patron | Reward: 1x stamina refil
[07/06/2022 09:23:22] Player: Heltao El Patron | Reward: 1x addon doll
[07/06/2022 09:33:04] Player: Heltao El Patron | Reward: 1x stamina refil
[07/06/2022 14:01:38] Player: Heltao El Patron | Reward: 100x crystal coin
[07/06/2022 14:18:04] Player: Loord Toom | Reward: 100x supreme health potion
[07/06/2022 14:18:21] Player: Loord Toom | Reward: 100x ultimate spirit potion
[07/06/2022 14:18:49] Player: Loord Toom | Reward: 100x ultimate spirit potion
[07/06/2022 14:19:06] Player: Loord Toom | Reward: 1x ferumbras' hat
[07/06/2022 14:19:34] Player: Loord Toom | Reward: 100x supreme health potion
[07/06/2022 20:50:55] Player: Reii Luulaoo | Reward: 1x pharaot boots
[07/06/2022 21:11:54] Player: Rafa Loko | Reward: 100x crystal coin
[07/06/2022 21:12:48] Player: Rafa Loko | Reward: 10x eldritch token
[07/06/2022 21:16:03] Player: Rafa Loko | Reward: 100x supreme health potion
[07/06/2022 21:16:30] Player: Rafa Loko | Reward: 5x diamond coin
[07/06/2022 21:17:22] Player: Rafa Loko | Reward: 100x ultimate spirit potion
[07/06/2022 21:17:40] Player: Rafa Loko | Reward: 100x ultimate mana potion
[07/06/2022 21:18:16] Player: Rafa Loko | Reward: 1x soulskull backpack
[08/06/2022 01:41:12] Player: Knight De Pappel | Reward: 10x eldritch token
[08/06/2022 01:43:10] Player: Knight De Pappel | Reward: 100x ultimate spirit potion
[08/06/2022 01:43:40] Player: Knight De Pappel | Reward: 50x fragmental ticket
[08/06/2022 12:00:45] Player: Rafa Loko | Reward: 1x stamina refil
[08/06/2022 12:01:03] Player: Rafa Loko | Reward: 100x ultimate spirit potion
[08/06/2022 12:01:24] Player: Rafa Loko | Reward: 100x ultimate spirit potion
[08/06/2022 12:02:06] Player: Rafa Loko | Reward: 1x addon doll
[08/06/2022 12:14:01] Player: Rafa Loko | Reward: 100x ultimate mana potion
[08/06/2022 12:14:15] Player: Rafa Loko | Reward: 50x fragmental ticket
[08/06/2022 12:14:30] Player: Rafa Loko | Reward: 100x supreme health potion
[08/06/2022 12:14:45] Player: Rafa Loko | Reward: 1x pharaot boots
[08/06/2022 12:14:58] Player: Rafa Loko | Reward: 10x eldritch token
[08/06/2022 12:16:20] Player: Rafa Loko | Reward: 5x diamond coin
[08/06/2022 12:16:35] Player: Rafa Loko | Reward: 1x soulpotter backpack
[08/06/2022 22:33:29] Player: Rafa Loko | Reward: 50x fragmental ticket
[08/06/2022 22:33:41] Player: Rafa Loko | Reward: 10x eldritch token
[08/06/2022 22:33:58] Player: Rafa Loko | Reward: 1x soulpotter backpack
[08/06/2022 22:36:17] Player: Rafa Loko | Reward: 1x stamina refil
[08/06/2022 22:36:31] Player: Rafa Loko | Reward: 50x fragmental ticket
[08/06/2022 22:37:21] Player: Rafa Loko | Reward: 100x ultimate spirit potion
[08/06/2022 22:37:38] Player: Rafa Loko | Reward: 1x stamina refil
[08/06/2022 22:37:51] Player: Rafa Loko | Reward: 5x diamond coin
[08/06/2022 22:38:04] Player: Rafa Loko | Reward: 50x fragmental ticket
[08/06/2022 22:38:18] Player: Rafa Loko | Reward: 100x supreme health potion
[08/06/2022 22:52:41] Player: Rafa Loko | Reward: 1x stamina refil
[08/06/2022 22:53:38] Player: Rafa Loko | Reward: 100x crystal coin
[08/06/2022 22:53:51] Player: Rafa Loko | Reward: 100x crystal coin
[08/06/2022 22:54:04] Player: Rafa Loko | Reward: 5x diamond coin
[08/06/2022 22:55:24] Player: Rafa Loko | Reward: 10x eldritch token
[08/06/2022 22:55:37] Player: Rafa Loko | Reward: 100x crystal coin
[08/06/2022 22:55:50] Player: Rafa Loko | Reward: 1x stamina refil
[08/06/2022 22:56:04] Player: Rafa Loko | Reward: 100x crystal coin
[08/06/2022 22:56:16] Player: Rafa Loko | Reward: 5x diamond coin
[08/06/2022 22:56:28] Player: Rafa Loko | Reward: 50x fragmental ticket
[08/06/2022 22:56:40] Player: Rafa Loko | Reward: 50x fragmental ticket
[08/06/2022 22:56:52] Player: Rafa Loko | Reward: 100x ultimate mana potion
[08/06/2022 22:57:06] Player: Rafa Loko | Reward: 100x supreme health potion
[08/06/2022 22:57:23] Player: Rafa Loko | Reward: 100x ultimate mana potion
[06/04/2023 08:07:07] Player: Styller-OTS | Reward: 1x soulpotter backpack
[06/04/2023 08:07:36] Player: Styller-OTS | Reward: 5x diamond coin
[17/04/2023 15:26:36] Player: Styller-OTS | Reward: 100x supreme health potion
[17/04/2023 15:29:22] Player: Styller-OTS | Reward: 10x eldritch token
[17/04/2023 15:29:52] Player: Styller-OTS | Reward: 5x diamond coin
[17/04/2023 15:30:03] Player: Styller-OTS | Reward: 100x crystal coin
[17/04/2023 15:30:25] Player: Styller-OTS | Reward: 100x supreme health potion
[17/04/2023 15:57:17] Player: Styller-OTS | Reward: 100x crystal coin
[17/04/2023 15:57:36] Player: Styller-OTS | Reward: 1x soulpotter backpack
[17/04/2023 16:12:14] Player: Styller-OTS | Reward: 100x crystal coin
[17/04/2023 16:12:25] Player: Styller-OTS | Reward: 100x crystal coin
[15/10/2023 21:14:21] Player: Styller-OTs | Reward: 100x ultimate mana potion
[15/10/2023 21:14:41] Player: Styller-OTs | Reward: 100x crystal coin
[15/10/2023 21:15:01] Player: Styller-OTs | Reward: 100x ultimate spirit potion
[18/10/2023 01:00:44] Player: Vetodj | Reward: 100x ultimate spirit potion
[18/10/2023 01:01:15] Player: Vetodj | Reward: 100x ultimate mana potion
[18/10/2023 01:01:29] Player: Vetodj | Reward: 50x fragmental ticket
[18/10/2023 01:01:43] Player: Vetodj | Reward: 100x crystal coin
[18/10/2023 01:01:55] Player: Vetodj | Reward: 100x crystal coin
[18/10/2023 01:02:11] Player: Vetodj | Reward: 100x ultimate spirit potion
[21/10/2023 19:38:13] Player: Styller-OTs | Reward: 100x ultimate spirit potion
[21/10/2023 20:59:25] Player: Styller-OTs | Reward: 5x diamond coin
[22/10/2023 16:57:50] Player: Vetodj | Reward: 5x diamond coin
[22/10/2023 16:58:32] Player: Vetodj | Reward: 100x supreme health potion
[23/10/2023 02:21:01] Player: Vetodj | Reward: 1x soulpotter backpack
[06/11/2023 01:07:58] Player: Styller-OTs | Reward: 50x fragmental ticket
[06/11/2023 01:08:23] Player: Styller-OTs | Reward: 1x soulpotter backpack
[06/11/2023 07:14:05] Player: Styller-OTs | Reward: 100x ultimate mana potion
[07/11/2023 00:06:42] Player: Niklaus | Reward: 100x ultimate spirit potion
[09/11/2023 10:06:36] Player: Dando Aulas | Reward: 100x ultimate spirit potion
[09/11/2023 10:06:51] Player: Dando Aulas | Reward: 5x gold bar
[09/11/2023 10:19:10] Player: Push On Time | Reward: 50x fragmental ticket
[09/11/2023 10:19:30] Player: Push On Time | Reward: 1x soulskull backpack
[20/11/2023 03:35:33] Player: [GM] Rique | Reward: 1x stamina refil
[20/11/2023 03:38:23] Player: [GM] Rique | Reward: 100x ultimate spirit potion
[28/11/2023 04:36:09] Player: Katarina | Reward: 100x ultimate spirit potion
